,,,,,,,,실의 조건,실의 조건,실의 조건,실의 조건,,,,,,반사율,반사율,반사율,등기구 사양,등기구 사양,,,,,,,,,,,
roomId_공간ID,category_카테고리,room_실명,roomNameParamValue_room name,levelName_레벨,targetFixtureType_적용전등타입,status_상태,message_메시지,area_m2_면적,length_m_가로,width_m_세로,effectiveHeight_m_광원고,roomIndex_실지수,requiredLux_요구조도,utilizationFactor_조명율,maintenanceFactor_보수율,reflectance_반사율,wallReflectance_벽반사율,ceilingReflectance_천장반사율,floorReflectance_바닥반사율,fixture_기구,fixtureFlux_lm_광속,rawRequiredCount_계산등수,requiredCount_필요등수,calculatedIlluminance_계산조도,requiredLuxParam_요구조도파라미터,utilizationParam_조명율파라미터,maintenanceParam_보수율파라미터,reflectanceParam_반사율파라미터,wallReflectanceParam_벽반사율파라미터,ceilingReflectanceParam_천장반사율파라미터,floorReflectanceParam_바닥반사율파라미터,fixtureFluxParam_광속파라미터
4718620,Spaces,1 - Space,화장실(남),1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",22.525,6.7,4.45,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718622,Spaces,2 - Space,화장실(여),1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",35.7073,6.8,6.45,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718634,Spaces,9 - Space,수유실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",10.92,4.2,2.6,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718635,Spaces,10 - Space,매표실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",10.92,4.2,2.6,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718636,Spaces,11 - Space,이동통신 기계실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",18.81,4.95,3.8,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718637,Spaces,12 - Space,역무통신실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",28.215,5.7,4.95,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718638,Spaces,13 - Space,역무실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",26.79,5.7,4.7,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718639,Spaces,14 - Space,탕비실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",7.22,3.8,1.9,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718640,Spaces,15 - Space,잡품창고,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",9.88,3.8,2.6,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718641,Spaces,16 - Space,장애인화장실(남),1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",5.75,2.5,2.3,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718642,Spaces,17 - Space,기계실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",193.06,19.7,9.8,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718643,Spaces,18 - Space,장애인화장실(여),1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",5.52,2.4,2.3,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718644,Spaces,19 - Space,냉난방대합실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",54.6,8.4,6.5,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718645,Spaces,20 - Space,전기실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",284.31,24.3,11.7,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718647,Spaces,22 - Space,운전취급실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",30.334,5.8,5.23,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718648,Spaces,23 - Space,대합실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",241.17,19.3,16.5,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718649,Spaces,24 - Space,방풍실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",12.6,6.0,2.1,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718650,Spaces,25 - Space,쓰레기 분리수거장,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",22.33,5.8,3.85,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718651,Spaces,26 - Space,작업장(신호),1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",22.04,5.8,3.8,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718652,Spaces,27 - Space,자재창고(신호),1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",20.52,5.4,3.8,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718653,Spaces,28 - Space,TMO사무실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",13.26,3.9,3.4,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718660,Spaces,35 - Space,신호계전기실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",142.72,15.8,11.4,2.6,2.0181,,0.93,1.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718674,Spaces,49 - Space,위험물창고,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",20.95,6.0,4.05,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
4718681,Spaces,56 - Space,전원실/축전지실,1F,,skipped,"필수 값 누락: 필수 요구조도, 조명율, 보수율, 광원고, 조도_적용전등타입, 조도_광속_lm 또는 fixtureFlux_lm",43.7894,8.05,5.6,0.0,,,,0.0,50.0,50.0,70.0,10.0,,,,,,,,,,,,,
